Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
afghanistan,rent per month,apartment (1 bedroom) in city centre,73.93 €,52.00-129.99,73.93,"(52.0, 129.99)",52.0,129.99
afghanistan,rent per month,apartment (1 bedroom) outside of centre,47.12 €,32.50-77.99,47.12,"(32.5, 77.99)",32.5,77.99
afghanistan,rent per month,apartment (3 bedrooms) in city centre,167.36 €,103.99-259.98,167.36,"(103.99, 259.98)",103.99,259.98
afghanistan,rent per month,apartment (3 bedrooms) outside of centre,91.80 €,64.99-129.99,91.8,"(64.99, 129.99)",64.99,129.99
afghanistan,buy apartment price,price per square meter to buy apartment in city centre,412.09 €,304.82-649.94,412.09,"(304.82, 649.94)",304.82,649.94
afghanistan,buy apartment price,price per square meter to buy apartment outside of centre,186.45 €,103.99-260.00,186.45,"(103.99, 260.0)",103.99,260.0
afghanistan,salaries and financing,average monthly net salary (after tax),184.78 €,,184.78,,,
afghanistan,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",16.22,10.00-25.00,16.22,"(10.0, 25.0)",10.0,25.0
aland islands,rent per month,apartment (1 bedroom) in city centre,580.00 €,500.00-800.00,580.0,"(500.0, 800.0)",500.0,800.0
aland islands,rent per month,apartment (1 bedroom) outside of centre,457.50 €,400.00-600.00,457.5,"(400.0, 600.0)",400.0,600.0
aland islands,rent per month,apartment (3 bedrooms) in city centre,"1,000.00 €","900.00-1,400.00",1.0,"(900.0, 1.4)",900.0,1.4
aland islands,rent per month,apartment (3 bedrooms) outside of centre,737.50 €,"500.00-1,200.00",737.5,"(500.0, 1.2)",500.0,1.2
aland islands,buy apartment price,price per square meter to buy apartment in city centre,"2,600.00 €",,2.6,,,
aland islands,buy apartment price,price per square meter to buy apartment outside of centre,"2,200.00 €",,2.2,,,
aland islands,salaries and financing,average monthly net salary (after tax),"2,250.00 €",,2.25,,,
aland islands,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.90,3.00-4.50,3.9,"(3.0, 4.5)",3.0,4.5
albania,rent per month,apartment (1 bedroom) in city centre,535.31 €,331.82-904.96,535.31,"(331.82, 904.96)",331.82,904.96
albania,rent per month,apartment (1 bedroom) outside of centre,362.90 €,201.10-502.75,362.9,"(201.1, 502.75)",201.1,502.75
albania,rent per month,apartment (3 bedrooms) in city centre,"1,040.25 €","550.00-1,508.26",1.04,"(550.0, 1.508)",550.0,1.508
albania,rent per month,apartment (3 bedrooms) outside of centre,630.25 €,"400.00-1,000.00",630.25,"(400.0, 1.0)",400.0,1.0
albania,buy apartment price,price per square meter to buy apartment in city centre,"2,580.48 €","1,407.72-4,022.04",2.58,"(407.72, 4.022)",407.72,4.022
albania,buy apartment price,price per square meter to buy apartment outside of centre,"1,405.61 €","1,005.51-1,809.92",1.405,"(5.51, 1.809)",5.51,1.809
albania,salaries and financing,average monthly net salary (after tax),608.48 €,,608.48,,,
albania,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.73,4.00-8.00,5.73,"(4.0, 8.0)",4.0,8.0
alderney,rent per month,apartment (3 bedrooms) outside of centre,950.89 €,,950.89,,,
algeria,rent per month,apartment (1 bedroom) in city centre,152.48 €,102.10-309.44,152.48,"(102.1, 309.44)",102.1,309.44
algeria,rent per month,apartment (1 bedroom) outside of centre,95.45 €,56.90-171.23,95.45,"(56.9, 171.23)",56.9,171.23
algeria,rent per month,apartment (3 bedrooms) in city centre,263.79 €,169.83-482.01,263.79,"(169.83, 482.01)",169.83,482.01
algeria,rent per month,apartment (3 bedrooms) outside of centre,167.39 €,102.61-300.00,167.39,"(102.61, 300.0)",102.61,300.0
algeria,buy apartment price,price per square meter to buy apartment in city centre,"1,128.32 €","571.59-2,501.62",1.128,"(571.59, 2.501)",571.59,2.501
algeria,buy apartment price,price per square meter to buy apartment outside of centre,645.55 €,"334.60-1,366.07",645.55,"(334.6, 1.366)",334.6,1.366
algeria,salaries and financing,average monthly net salary (after tax),268.88 €,,268.88,,,
algeria,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.11,4.50-7.00,6.11,"(4.5, 7.0)",4.5,7.0
american samoa,rent per month,apartment (1 bedroom) in city centre,137.84 €,,137.84,,,
american samoa,rent per month,apartment (1 bedroom) outside of centre,183.78 €,,183.78,,,
american samoa,rent per month,apartment (3 bedrooms) in city centre,827.01 €,,827.01,,,
american samoa,rent per month,apartment (3 bedrooms) outside of centre,643.23 €,,643.23,,,
american samoa,buy apartment price,price per square meter to buy apartment in city centre,"9,890.96 €",,9.89,,,
american samoa,buy apartment price,price per square meter to buy apartment outside of centre,"9,890.96 €",,9.89,,,
andorra,rent per month,apartment (1 bedroom) in city centre,"1,015.00 €","850.00-1,200.00",1.015,"(850.0, 1.2)",850.0,1.2
andorra,rent per month,apartment (1 bedroom) outside of centre,820.00 €,"750.00-1,000.00",820.0,"(750.0, 1.0)",750.0,1.0
andorra,rent per month,apartment (3 bedrooms) in city centre,"1,870.00 €","1,500.00-3,000.00",1.87,"(500.0, 3.0)",500.0,3.0
andorra,rent per month,apartment (3 bedrooms) outside of centre,"1,700.00 €","1,250.00-2,500.00",1.7,"(250.0, 2.5)",250.0,2.5
andorra,buy apartment price,price per square meter to buy apartment in city centre,"4,650.00 €","4,500.00-5,000.00",4.65,"(500.0, 5.0)",500.0,5.0
andorra,buy apartment price,price per square meter to buy apartment outside of centre,"3,971.43 €","3,500.00-4,500.00",3.971,"(500.0, 4.5)",500.0,4.5
andorra,salaries and financing,average monthly net salary (after tax),"2,396.39 €",,2.396,,,
andorra,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.20,1.75-4.50,3.2,"(1.75, 4.5)",1.75,4.5
angola,rent per month,apartment (1 bedroom) in city centre,543.36 €,256.91-912.18,543.36,"(256.91, 912.18)",256.91,912.18
angola,rent per month,apartment (1 bedroom) outside of centre,267.60 €,64.23-658.71,267.6,"(64.23, 658.71)",64.23,658.71
angola,rent per month,apartment (3 bedrooms) in city centre,"2,158.24 €","856.36-6,707.97",2.158,"(856.36, 6.707)",856.36,6.707
angola,rent per month,apartment (3 bedrooms) outside of centre,"1,238.94 €","284.51-2,500.33",1.238,"(284.51, 2.5)",284.51,2.5
