Pays,Catégorie,Item,Valeur,Plage
Afghanistan,Rent Per Month,Apartment (1 bedroom) in City Centre,73.93 €,52.00-129.99
Afghanistan,Rent Per Month,Apartment (1 bedroom) Outside of Centre,47.12 €,32.50-77.99
Afghanistan,Rent Per Month,Apartment (3 bedrooms) in City Centre,167.36 €,103.99-259.98
Afghanistan,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,91.80 €,64.99-129.99
Afghanistan,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,412.09 €,304.82-649.94
Afghanistan,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,186.45 €,103.99-260.00
Afghanistan,Salaries And Financing,Average Monthly Net Salary (After Tax),184.78 €,
Afghanistan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.22,10.00-25.00
Aland Islands,Rent Per Month,Apartment (1 bedroom) in City Centre,580.00 €,500.00-800.00
Aland Islands,Rent Per Month,Apartment (1 bedroom) Outside of Centre,457.50 €,400.00-600.00
Aland Islands,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,000.00 €","900.00-1,400.00"
Aland Islands,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,737.50 €,"500.00-1,200.00"
Aland Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,600.00 €",
Aland Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,200.00 €",
Aland Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,250.00 €",
Aland Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.90,3.00-4.50
Albania,Rent Per Month,Apartment (1 bedroom) in City Centre,535.31 €,331.82-904.96
Albania,Rent Per Month,Apartment (1 bedroom) Outside of Centre,362.90 €,201.10-502.75
Albania,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,040.25 €","550.00-1,508.26"
Albania,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,630.25 €,"400.00-1,000.00"
Albania,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,580.48 €","1,407.72-4,022.04"
Albania,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,405.61 €","1,005.51-1,809.92"
Albania,Salaries And Financing,Average Monthly Net Salary (After Tax),608.48 €,
Albania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.73,4.00-8.00
Alderney,Rent Per Month,Apartment (1 bedroom) in City Centre,?,
Alderney,Rent Per Month,Apartment (1 bedroom) Outside of Centre,?,
Alderney,Rent Per Month,Apartment (3 bedrooms) in City Centre,?,
Alderney,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,950.89 €,
Alderney,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Alderney,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Alderney,Salaries And Financing,Average Monthly Net Salary (After Tax),?,
Alderney,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Algeria,Rent Per Month,Apartment (1 bedroom) in City Centre,152.48 €,102.10-309.44
Algeria,Rent Per Month,Apartment (1 bedroom) Outside of Centre,95.45 €,56.90-171.23
Algeria,Rent Per Month,Apartment (3 bedrooms) in City Centre,263.79 €,169.83-482.01
Algeria,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,167.39 €,102.61-300.00
Algeria,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,128.32 €","571.59-2,501.62"
Algeria,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,645.55 €,"334.60-1,366.07"
